iter	Accuracy	Logloss
702	0.8943977913	0.2558947941
703	0.8942827562	0.2557989534
704	0.8943977913	0.2557468526
705	0.8946278615	0.2556578887
706	0.8945128264	0.2555823095
707	0.8946278615	0.255521209
708	0.8946278615	0.2554202797
709	0.8948579317	0.2551800094
710	0.8952030369	0.2550539105
711	0.8955481422	0.2549143685
712	0.8957782124	0.254774973
713	0.8957782124	0.2546872739
714	0.8957782124	0.2546042488
715	0.8960082825	0.2543525013
716	0.8963533878	0.2542611223
717	0.8960082825	0.2541786162
718	0.8962383527	0.2541052571
719	0.8961233176	0.2538522691
720	0.896583458	0.2537137923
721	0.896583458	0.2535787195
722	0.896583458	0.2534733855
723	0.896583458	0.2532964881
724	0.896698493	0.2531573706
725	0.896698493	0.2530828311
726	0.8971586334	0.2529279914
727	0.8973887036	0.2528467449
728	0.8973887036	0.2526456655
729	0.8971586334	0.2525455966
730	0.8971586334	0.2524350648
731	0.8969285632	0.2522843518
732	0.8968135281	0.2522108191
733	0.8970435983	0.25203118
734	0.8970435983	0.2518714632
735	0.8970435983	0.2517441826
736	0.8970435983	0.2516589886
737	0.8970435983	0.2514812927
738	0.8971586334	0.2513486959
739	0.897963879	0.2512068117
740	0.897963879	0.2511142925
741	0.8978488439	0.2510000947
742	0.8978488439	0.2509195565
743	0.8981939492	0.2507995809
744	0.8981939492	0.2506666511
745	0.8981939492	0.2505795654
746	0.8983089842	0.2504137347
747	0.8986540895	0.2502805646
748	0.8986540895	0.2501195529
749	0.8986540895	0.2500568675
750	0.8988841597	0.2499543545
751	0.8989991948	0.2498949163
752	0.8994593351	0.2496914578
753	0.8994593351	0.2496158169
754	0.8994593351	0.2495200992
755	0.8998044404	0.2493788265
756	0.8999194754	0.2492196457
757	0.8998044404	0.2491184067
758	0.8998044404	0.2489998198
759	0.8998044404	0.2487925643
760	0.8996894053	0.2485908542
761	0.8999194754	0.2485011971
762	0.8999194754	0.2484411516
763	0.8998044404	0.2483286436
764	0.8998044404	0.248213927
765	0.8999194754	0.248126954
766	0.9000345105	0.2479821524
767	0.8999194754	0.247857196
768	0.9000345105	0.2477642885
769	0.9000345105	0.2476525886
770	0.8998044404	0.2475221308
771	0.9003796158	0.2473701761
772	0.9004946509	0.24726483
773	0.900609686	0.2471872043
774	0.900724721	0.2470631516
775	0.9008397561	0.2469478139
776	0.9003796158	0.2468423315
777	0.900609686	0.2466670595
778	0.900724721	0.2465792075
779	0.9001495456	0.2464286389
780	0.9004946509	0.2460641851
781	0.9002645807	0.2459490898
782	0.9004946509	0.245825041
783	0.900609686	0.2456776522
784	0.900724721	0.2456141408
785	0.9009547912	0.2455341664
786	0.9010698263	0.2454541296
787	0.9014149316	0.2452280565
788	0.9015299666	0.2451112966
789	0.9016450017	0.2449896372
790	0.9017600368	0.2448491557
791	0.9017600368	0.2446798973
792	0.9017600368	0.2445595766
793	0.9018750719	0.2445078712
794	0.9018750719	0.2444492214
795	0.9021051421	0.2443748097
796	0.9022201772	0.2442076594
797	0.9026803175	0.2441014756
798	0.9025652824	0.2439845686
799	0.9025652824	0.2438480902
800	0.9025652824	0.2436662261
801	0.9025652824	0.2436245922
802	0.9025652824	0.2435589765
803	0.9025652824	0.2433516069
804	0.9029103877	0.2432013934
805	0.9029103877	0.2431229522
806	0.9027953526	0.2430335796
807	0.9031404578	0.2429305179
808	0.9031404578	0.2428456504
809	0.9030254228	0.2426959537
810	0.9034855631	0.2425154152
811	0.9038306684	0.2423815806
812	0.9039457034	0.2423167777
813	0.9038306684	0.2422421933
814	0.9038306684	0.2422029524
815	0.9037156333	0.2420785222
816	0.9038306684	0.2419810591
817	0.9037156333	0.2419282893
818	0.9038306684	0.2418218348
819	0.9040607385	0.2416702959
820	0.9039457034	0.2415686151
821	0.9040607385	0.2414498932
822	0.9040607385	0.241359404
823	0.9041757736	0.2412878695
824	0.9042908087	0.2412175926
825	0.9044058438	0.2411457137
826	0.9042908087	0.2409250246
827	0.9042908087	0.2408457118
828	0.9044058438	0.2407893235
829	0.9041757736	0.2406604155
830	0.9045208789	0.240542836
831	0.9045208789	0.2404077516
832	0.9044058438	0.2402988429
833	0.9044058438	0.2402255255
834	0.9042908087	0.2401713295
835	0.904635914	0.2399964854
836	0.904635914	0.2399439104
837	0.904635914	0.2398466317
838	0.9048659841	0.2397651576
839	0.9052110894	0.2396078161
840	0.9050960543	0.2394595053
841	0.9050960543	0.2394257481
842	0.9055561946	0.239304963
843	0.9056712297	0.2392104642
844	0.9057862648	0.2391252284
845	0.9055561946	0.2390353486
846	0.9057862648	0.2389367105
847	0.9056712297	0.2387846921
848	0.9057862648	0.2386920342
849	0.9059012999	0.2386180077
850	0.9059012999	0.2385177035
851	0.906016335	0.238420694
852	0.906016335	0.2383740069
853	0.9057862648	0.2382634764
854	0.9059012999	0.2382068847
855	0.9059012999	0.2380896821
856	0.9057862648	0.2379922767
857	0.9057862648	0.2379230254
858	0.906016335	0.2378389616
859	0.9056712297	0.237717357
860	0.9056712297	0.2376440578
861	0.9057862648	0.2375760525
862	0.9056712297	0.2374252212
863	0.9057862648	0.2372974524
864	0.9059012999	0.2371796705
865	0.9059012999	0.2370995905
866	0.906016335	0.2370230331
867	0.906016335	0.2369451529
868	0.9063614402	0.2368816793
869	0.9059012999	0.2368316457
870	0.9061313701	0.2367092178
871	0.9056712297	0.236566017
872	0.9059012999	0.2364095448
873	0.9057862648	0.2363689679
874	0.9056712297	0.236322838
875	0.9061313701	0.2361128058
876	0.9063614402	0.2359540412
877	0.9065915104	0.2358521749
878	0.9065915104	0.235718814
879	0.9064764753	0.2356183005
880	0.9070516508	0.2354753911
